3Ltr,Company,Country,Telephony,FriendlyName
ACP,ASTRAL AVIATION LIMITED,KENYA,ASTRAL CARGO,Astral Aviation
ACQ,ARYAN CARGO EXPRESS,INDIA,ACE CARGO,Aryan Cargo Express
ACR,"AEROCENTER, ESCUELA DE FORMACION DE PILOTOS PRIVADOS DE AVION",SPAIN,AEROCENTER,Aerocenter
ACS,AIRCRAFT SALES AND SERVICES (PVT) LTD,PAKISTAN,AIRCRAFT SALES,Aircraft Sales and Services
ACT,"FLIGHT LINE, INC. (DENVER, CO)",UNITED STATES,AMERICAN CHECK,Flight Line
ACU,AIR CARGO TRANSPORTATION SYSTEM LIMITED,KENYA,AFRISPIRIT,Air Cargo Transportation System
ACV,"AIR CARNIVAL PVT. LIMITED (COIMBATORE, INDIA)",INDIA,CARNAIR,Air Carnival
ACW,"SERVICIOS AEREOS ACROSS, S.A. DE C.V.",MEXICO,ACRO JETS,Fly Across
ADA,"AIRSERVICES AUSTRALIA, FLIGHT INSPECTION UNIT",AUSTRALIA,AUSCAL,Airservices Australia
ADB,ANTONOV COMPANY,UKRAINE,ANTONOV BUREAU,Antonov Airlines
ADC,AD ASTRA EXECUTIVE CHARTER SP.Z.O.O.,POLAND,AD ASTRA,AD Astra Executive Charter
ADD,"ADVANCED AIR CO., LTD",JAPAN,,Advanced Air
ADF,"ADEFA, S.A.",SPAIN,,Adefa
ADG,"AEREA FLYING TRAINING ORGANIZATION, S.A.",SPAIN,AEREA TRAINING,Aerea Flying Training Organization
ADI,AUDELI AIR EXPRESS,SPAIN,AUDELI,Audeli Air
ADJ,"ALADDIN JET CO., LTD",CHINA,SHENDENG JET,Aladdin Jet
ADK,AVIATION DEVELOPMENT COMPANY NIGERIA LIMITED,NIGERIA,ADCO,Aviation Development Company Nigeria Limited
ADL,AERO DYNAMICS,UNITED KINGDOM,COTSWOLD,Aero Dynamics
ADM,AIR DREAM COLLEGE,PORTUGAL,DREAM COLLEGE,Air Dream College
ADN,"AERODIENST GMBH & CO. KG, NUERNBERG",GERMANY,AERODIENST,Aero-Dienst
