3Ltr,Company,Country,Telephony,FriendlyName
CLT,CLUB AEROCELTA DE VUELO CON MOTOR,SPAIN,,Club Aerocelta de Vuelo Con Motor
CLU,CARGOLOGICAIR LTD,UNITED KINGDOM,FIREBIRD,Cargo Logic Air
CLV,LOM PRAHA FLYING SCHOOL,CZECHIA,AEROTRAINING,Lom Praha Flying School
CLW,NOWY PRZEWOZNIK SP. Z.O.O.,POLAND,CENTRALWINGS,Centralwings
CLX,CARGOLUX AIRLINES INTERNATIONAL S.A.,LUXEMBOURG,CARGOLUX,Cargolux
CLY,"CLAY LACY AVIATION (SEATTLE, WA)",UNITED STATES,CLAY-LACY,Clay Lacy Aviation
CLZ,CLOUD 9 AIR CHARTERS,SOUTH AFRICA,CLOUDLINE,Cloud 9 Air Charters
CMA,CMA CGM AIR CARGO,FRANCE,FRENCH CARGO,CMA-CGM AirCargo
CMB,US TRANSPORTATION COMMAND,UNITED STATES,CAMBER,United States Transportation Command
CMC,CMC ELECTRONICS INC.,CANADA,ESTERLINE,CMC Electronics
CMD,CALSTAR,UNITED STATES,CALSTAR MED,Calstar
CME,COMMERCE BANK,UNITED STATES,COMMERCE BANK,Commerce Bank
CMF,"AIR CARE ALLIANCE (STORRS, CT)",UNITED STATES,COMPASSION,Air Care Alliance
CMG,COMET AIRLINES LIMITED,NIGERIA,SUNSPY,Comet Airlines
CMH,COMMAIR AVIATION LIMITED,UNITED KINGDOM,COMMODORE,Commair Aviation
CMI,"CONTINENTAL MICRONESIA, INC. (TAMUNING, GUAM)",UNITED STATES,AIR MIKE,Continental Micronesia
CMM,CAMEX ADRIA AIRLINES,SLOVENIA,CAMEX ADRIA,Camex Adria Airlines
CMN,"ECKLES AIRCRAFT CO. (HOLDENVILLE, OK)",UNITED STATES,CIMMARON AIRE,Eckles Aircraft
CMO,KGFM TRANSPORT AND LOGISTICS (PTY) LTD,SOUTH AFRICA,CAMELOT,KGFM Transport and Logistics
CMP,"COMPANIA PANAMENA DE AVIACION, S.A.",PANAMA,COPA,Copa Airlines
CMR,CAM AIR MANAGEMENT LTD,UNITED KINGDOM,CAMEO,CAM Air Management
CMS,CAMEX AIRLINES LLC,GEORGIA,CAMEX,Camex Airlines
CMT,"CASEMENT AVIATION (PLAINESVILLE, OH)",UNITED STATES,CASEMENT,Casement Aviation
CMV,CALIMA DE AVIACION S.L.,SPAIN,CALIMA,Calima Aviacion
CMX,"EL CAMINANTE TAXI AEREO, S.A. DE C.V.",MEXICO,EL CAMINANTE,El Caminante Taxi Aereo
CMZ,"CM STAIR, COMPAGNIE MAURITANIENNE DES SERVICES ET TRANSPORT AERIEN",MAURITANIA,CEE-EM STAIRS,CM Stair
CNA,CANAVIA LINEAS AEREAS S.L.,SPAIN,CANAVIA,Canavia Lineas Aereas
CNB,CITYLINE HUNGARY LTD,HUNGARY,CITYHUN,Cityline Hungary
CNC,"CORPORACION AEREO CENCOR, S.A. DE C.V.",MEXICO,CENCOR,Corporacion Aereo Cencor
CND,CORENDON DUTCH AIRLINES B.V.,NETHERLANDS,DUTCH CORENDON,Corendon Dutch Airlines
CNF,CANARY FLY S.L.,SPAIN,CANARY,Canary Fly
CNG,"COASTAL AIRWAYS (GULFPORT, MS)",UNITED STATES,SID-AIR,Coastal Airways
CNI,EMPRESA NACIONAL DE SERVICIOS AEREOS,CUBA,SERAER,Empresa Nacional De Servicios Aereos
CNK,SUNWEST AVIATION LTD,CANADA,CHINOOK,Sunwest Aviation
CNL,"CENTENNIAL AIRLINES, INC. (LARAMIE, WY)",UNITED STATES,WYO-AIR,Centennial Airlines
CNM,AIR CHINA INNER MONGOLIA,CHINA,MENGYUAN,Air China Inner Mongolia
CNO,SAS SCANDINAVIAN AIRLINES NORGE AS,NORWAY,SCANOR,SAS Braathens
CNR,"CONDOR AERO SERVICES, INC. (CULLMAN, AL)",UNITED STATES,CONAERO,Condor Aero Services
CNS,"COBALT AIR, LLC (PORTSMOUTH NH)",UNITED STATES,CHRONOS,PlaneSense
CNT,CONNECT LINHAS AEREAS S.A.,BRAZIL,CONNECT CARGO,Connect Linhas Aereas
CNU,AIR CONSUL,SPAIN,AIR CONSUL,Air Consul
CNV,"US NAVY AIR LOGISTICS OFFICE (NEW ORLEANS, LA)",UNITED STATES,CONVOY,U.S. Navy Reserve Logistic Air Forces
CNW,"NORTH-WESTERN CARGO INTERNATIONAL AIRLINES CO., LTD",CHINA,TANG,North Western Cargo International Airlines
COB,COBRA JET AVIATION,EGYPT,COBRA JET,Cobra Jet Aviation
COG,CONGO AIRWAYS. SA,DEMOCRATIC REPUBLIC OF THE CONGO,CONGO AIR,Congo Airways
COI,"COINSPECTRA AVIACION, C.A.",VENEZUELA,COAVIATION,Coinspectra Aviacion
COJ,CORAL JET,BERMUDA,CORAL JET,Coral Jet
COL,SC AVIATION INC.,UNITED STATES,COLONY,SC Aviation
COM,"COMAIR, INC. (CINCINNATI, OH)",UNITED STATES,COMAIR,Comair
CON,CONOCOPHILLIPS CO.,UNITED STATES,CONOCO,ConocoPhillips
COO,"COVE PARTNERS, LLC.",UNITED STATES,COVE,Cove Partners
COP,"COPPER STATE AIR SERVICE, INC. (MESA, AZ)",UNITED STATES,COPPER STATE,Copper State Air Service
COS,"AIR 7, LLC",UNITED STATES,COASTAL JET,Air 7
COT,"COSTA AIRLINES, C.A.",VENEZUELA,MARA,Costa Airlines
COV,SIGNCHOOSE LTD T/A HELICENTRE COVENTRY,UNITED KINGDOM,HELICENTRE,Helicentre Coventry
COW,COWI A/S,DENMARK,COWI,Cowi
COX,"COX AVIACION, S.A. DE C.V.",MEXICO,COX AVIACION,Cox Aviacion
COY,COYNE AVIATION LIMITED,UNITED KINGDOM,COYNE AIR,Coyne Aviation
COZ,COSMIC AIR PVT. LTD,NEPAL,COSMIC AIR,Cosmic Air
CPA,CATHAY PACIFIC AIRWAYS LTD.,CHINA,CATHAY,Cathay Pacific
CPD,CAPITAL AIRLINES LIMITED,KENYA,CAPITAL DELTA,Capital Airlines
CPF,"U S AIR FORCE AUXILIARY, CIVIL AIR PATROL (MAXWELL AFB, AL)",UNITED STATES,CAP-FLIGHT,U.S. Air Force Auxiliary Civil Air Patrol
CPG,"CORPORACION AEROANGELES, S.A. DE C.V.",MEXICO,CORPORANG,Corporacion Aeroangeles
CPI,COMPAGNIA AERONAUTICA ITALIANA S.P.A.,ITALY,AIRCAI,Compagnia Aeronautica Italiana
CPJ,PHENIX JET CAYMAN SEZC,CAYMAN ISLANDS,DRAGON EYE,Phenix Jet Cayman
CPK,FEDERAL STATE BUDGETARY ORGANIZATION GAGARIN RESEARCH & TEST COSMONAUT TRAINING CENTER,RUSSIAN FEDERATION,CEDAR,Gagarin Research & Test Cosmonaut Training Center
CPL,"CHAPARRAL AIRLINES (ABILENE, TX)",UNITED STATES,CHAPARRAL,Chaparral Airlines
CPM,COMPAGNIE MAURITANIENNE DES TRANSPORTS,MAURITANIA,,Compagnie Mauritanienne Des Transports
CPN,CASPIAN AIRLINES,IRAN (ISLAMIC REPUBLIC OF),CASPIAN,Caspian Airlines
CPO,"CORPORATE AIRCRAFT COMPANY (GARDNER, KS)",UNITED STATES,MOKAN,Corporate Aircraft Company
CPP,COPTERPLUS FINLAND OY,FINLAND,COPTERPLUS,Copterplus Finland
CPR,AEROLINEA DEL CARIBE-PERU S.A.C.,PERU,CARIBE-PERU,Aerolinea Del Caribe Peru
CPT,"CORPORATE AIR (BILLINGS, MT)",UNITED STATES,AIR SPUR,Corporate Air
CPU,AIR SUPPORT A/S,DENMARK,,Air Support
CPV,AIR CORPORATE S.R.L.,ITALY,AIRCORPORATE,Air Corporate
CPX,"CAPITAL AIR SERVICE, INC. (MANHATTAN, KS)",UNITED STATES,CAPAIR,Capital Air Service
CQH,"SPRING AIRLINES CO., LTD",CHINA,AIR SPRING,Spring Airlines
CQN,"CHONG QING AIRLINES CO., LTD",CHINA,CHONG QING,Chongqing Airlines
CRA,CIMAS EMERGENCY AIR RESCUE SERVICE,ZIMBABWE,CIMAS,Cimas Emergency Air Rescue Service
CRB,KUYAKE AVIATION INC D/B/A CARIBBEAN COMMUTER AIRWAYS,SURINAME,CARIBBEAN COMMUTER,Caricom Airways
CRC,CAMEROON AIRLINES CORPORATION (CAMAIR-CO),CAMEROON,CAMAIRCO,Camair-Co
CRD,AIR CORRIDOR,MOZAMBIQUE,AIR CORRIDOR,Air Corridor
CRE,"JET OUT, LLC",UNITED STATES,CREAM CITY,Jet OUT
CRF,CROIX ROUGE FRANCAISE,FRANCE,CROIX ROUGE,Croix Rouge Francaise
CRG,COSTA RICA GREEN AIRWAYS,COSTA RICA,GREENAIR,Costa Rica Green Airways
CRJ,AIR CRUZAL,ANGOLA,AIR CRUZAL,Air Cruzal
CRK,HONG KONG AIRLINES LTD,CHINA,BAUHINIA,Hong Kong Airlines
CRL,CORSAIR,FRANCE,CORSAIR,Corsairfly
CRM,"COMMANDER MEXICANA, S.A. DE C.V.",MEXICO,COMMANDERMEX,Commander Mexicana
CRN,CARSON AIR LTD.,CANADA,CARSON,Carson Air
CRO,"CROWN AIRWAYS, INC. (DUBOIS, PA)",UNITED STATES,CROWN AIRWAYS,Crown Airways
CRP,"AEROTRANSPORTES CORPORATIVOS, S.A. DE C.V.",MEXICO,AEROTRANSCORP,Aerotransportes Corporativos
CRQ,AIR CREEBEC,CANADA,CREE,Air Creebec
CRR,CANADIAN PACIFIC RAILWAY,CANADA,RAILCAR,Canadian Pacific Railway
CRS,"COMERCIAL AEREA, S.A. DE C.V.",MEXICO,COMERCIAL AEREA,Comercial Aerea
CRT,CARIBINTAIR S.A.,HAITI,CARIBINTAIR,Caribintair
CRU,"SERVICIOS STARLIT CARUSO, S.A. DE C.V.",MEXICO,VIC-STARLIT,Servicios Starlit Caruso
CRV,ACROPOLIS AVIATION LTD,UNITED KINGDOM,ACROPOLIS,Acropolis Aviation
CRW,CENTRAL AMERICAN AIRWAYS,HONDURAS,CENTRAL AMERICAN,Central American Airways
CRX,CROSS AVIATION LTD,UNITED KINGDOM,CROSSAIR,Cross Aviation
CRY,SOUTH CERNEY,UNITED KINGDOM,CERNEY,South Cerney
CSA,CZECH AIRLINES J.S.C.,CZECHIA,CSA-LINES,Czech Airlines
CSB,"21-AIR, LLC",UNITED STATES,CARGO SOUTH,21 Air
CSC,SI CHUAN AIRLINES,CHINA,SI CHUAN,Sichuan Airlines
CSD,"COURIER SERVICES, INC. (TEMPE, AZ)",UNITED STATES,DELIVERY,Courier Services
CSE,CORAL SEAS EXPRESS LIMITED,SOLOMON ISLANDS,,CSE Aviation
CSF,CLASAIR,UNITED KINGDOM,CALEDONIAN,Clasair
CSG,CHINA SOUTHERN AIRLINES CARGO,CHINA,SOUTHERN CARGO,China Southern Cargo
CSH,SHANGHAI AIRLINES,CHINA,SHANGHAI AIR,Shanghai Airlines
CSI,"CSI AVIATION, INC.",UNITED STATES,SANDIA,CSI Aviation
CSJ,"CASTLE AVIATION, INC. (RAVENNA, OH)",UNITED STATES,CASTLE,Castle Aviation
CSK,"FLIGHTCRAFT, INC. (PORTLAND, OR)",UNITED STATES,CASCADE,Flightcraft
CSL,"MINSON AVIATION, INC. D/B/A CALIFORNIA AIR SHUTTLE (OXNARD, CA)",UNITED STATES,CALIFORNIA SHUTTLE,California Air Shuttle
CSM,"CSM SERVICIOS, S.A. DE C.V.",MEXICO,CSM SERVICIOS,CSM Servicios
CSN,CHINA SOUTHERN AIRLINES,CHINA,CHINA SOUTHERN,China Southern Airlines
CSO,"CASINO AIRLINES, INC. (SHREVEPORT, LA)",UNITED STATES,CASAIR,Casino Airlines
CSP,"CASPER AIR SERVICE, INC.(CASPER, WY)",UNITED STATES,CASPER AIR,Casper Air Service
CSQ,"IBC AIRWAYS, INC. (MIAMI, FL)",UNITED STATES,CHASQUI,IBC Airways
CSR,CAE GMBH,GERMANY,CAESAR,CAE
CSS,SF AIRLINES COMPANY LIMITED,CHINA,SHUN FENG,SF Airlines
CST,"SHORELINE AVIATION, INC.",UNITED STATES,SHORELINE,Shoreline Aviation
CSV,COASTAL TRAVELS LIMITED,UNITED REPUBLIC OF TANZANIA,COASTAL TRAVEL,Coastal Aviation
CSW,CHAIR AIRLINES AG,SWITZERLAND,EIGER,Chair Airlines
CSX,"CHOICE AIRWAYS, INC. (SUNRISE, FL)",UNITED STATES,CHOICE AIR,Choice Airways
CSY,SHUANGYANG GENERAL AVIATION CO.,CHINA,SHUANGYANG,Shuangyang General Aviation
CSZ,SHENZHEN AIRLINES,CHINA,SHENZHEN AIR,Shenzhen Airlines
CTA,"AERO CHARTER AND TRANSPORT (ALBUQUERQUE, NM)",UNITED STATES,CHAR-TRAN,Aero Charter and Transport
CTB,THOMAS COOK AIRLINES BALEARICS S.L.,SPAIN,SUNNYHEART,Thomas Cook Airlines Balearics
CTD,"AEROCORPORATIVOS, S.A. DE C.V.",MEXICO,AEROCORPORATIVOS,Aerocorporativos
CTE,"ATLANTA AIR CHARTER, INC.",UNITED STATES,CORNERSTONE,Atlanta Air Charter
CTF,CUTTER AVIATION (PHOENIX AZ),UNITED STATES,CUTTER FLIGHT,Cutter Aviation
CTG,CANADIAN COAST GUARD,CANADA,CANADIAN COAST GUARD,Canadian Coast Guard
CTH,"EASTERN GENERAL AVIATION CO., LTD",CHINA,TONGHANG,Eastern General Aviation
CTJ,"TIANJIN AIR CARGO CO., LTD.",CHINA,TIANJIN CARGO,Tianjin Air Cargo
CTK,EAST MIDLANDS HELICOPTERS,UNITED KINGDOM,COSTOCK,East Midlands Helicopters
CTL,"CENTRAL AIR SOUTHWEST, INC. (CUSHING, OK)",UNITED STATES,CENTRAL COMMUTER,Central Airlines
CTM,COMMANDEMENT DU TRANSPORT AERIEN MILITAIRE FRANCAIS,FRANCE,COTAM,French Air Force Command
CTN,CROATIA AIRLINES,CROATIA,CROATIA,Croatia Airlines
CTP,"CTP AVIATION, LLC",UNITED STATES,WOODSIDE,CTP Aviation
CTR,"AEROLINEAS CENTAURO, S.A. DE C.V.",MEXICO,CENTAURO,Aerolineas Centauro
CTS,CHARTERS EJECUTIVOS SA DE CV,MEXICO,EXECUTIVE,Charters Ejecutivos
CTT,"CUSTOM AIR TRANSPORT, INC. (DANIA, FL)",UNITED STATES,CATT,Custom Air Transport
CTU,GLOBUS,RUSSIAN FEDERATION,CITYWINGS,Globus
CTV,CITILINK INDONESIA,INDONESIA,SUPERGREEN,Citilink
CTW,CARGO THREE INC.,PANAMA,THIRD CARGO,Cargo Three
CTY,"CRYDERMAN AIR SERVICE (DRAYTON PLAINS, MI)",UNITED STATES,CENTURY,Cryderman Air Service
CUA,"CHINA UNITED AIRLINES CO., LTD.",CHINA,CHINA UNITED,China United Airlines
CUB,CUBANA DE AVIACION S.A.,CUBA,CUBANA,Cubana
CUH,URUMQI AIRLINES CO. LTD.,CHINA,LOULAN,Urumqi Airlines
CUJ,"CLUB JET CHARTER, LLC",UNITED STATES,CLUB JET,Club Jet Charter
CUK,POLO AVIATION LTD,UNITED KINGDOM,CHUKKA,Polo Aviation
CUL,COULSON AVIATION USA,UNITED STATES,COULSON,Coulson Aviation
CUO,"AEROCUAHONTE, S.A. DE C.V.",MEXICO,CUAHONTE,Aerocuahonte
CUS,AUSTRALIAN CUSTOMS SERVICE - BORDER PROTECTION,AUSTRALIA,CUSTOM,Australian Customs Service Border Protection
CUT,COURT HELICOPTERS,SOUTH AFRICA,COURT AIR,Court Helicopters
CVA,AIR TRANSPORT (CHATHAM ISLANDS) LTD,NEW ZEALAND,CHATHAM,Air Chathams
CVD,AVIATION CONSULTANTS INC.,UNITED STATES,,Aviation Consultants
CVE,CABO VERDE EXPRESS,CABO VERDE,KABEX,Cabo Verde Express
CVF,"DASSAULT FALCON JET CORPORATION (S. HACKENSACK, NJ)",UNITED STATES,CLOVERLEAF,Dassault Falcon Jet Corporation
CVJ,"COMERCIALIZACION DE AVIACION EJECUTIVA, S.A. DE C.V.",MEXICO,COMEREJECUTIVA,Comercializacion De Aviacion Ejecutiva
CVK,CAVOK AIRLINES,UKRAINE,CARGO LINE,Cavok Air
CVO,CENTER VOL S.A.,SPAIN,CENTERVOL,Center Vol
CVR,"CHEVRON U.S.A. (NEW ORLEANS, LA)",UNITED STATES,CHEVRON,Chevron U.S.A.
CVS,CONVERS AVIA AIRLINE,RUSSIAN FEDERATION,CONVERS,Convers Avia Airline
CVU,"GRAND CANYON AIRLINES, INC. (GRAND CANYON, AZ)",UNITED STATES,CANYON VIEW,Grand Canyon Airlines
CVV,COMERCIAL DE AVIACION C.A. (COMERAVIA),VENEZUELA,COMERAVIA,Comeravia
CVX,CENTRO INDUSTRIAL AERONAUTICO C.A. (CIACA),VENEZUELA,CIACA,Centro Industrial Aeronautico
CVZ,AEROCARIBE AIRLINES,VENEZUELA,CARIBE,Aerocaribe Airlines
CWA,CAN WEST CORPORATE AIR CHARTERS LTD.,CANADA,CAN WEST,Canadian Western Airlines
CWC,"CENTURION AIR CARGO, INC. (MIAMI, FL)",UNITED STATES,CHALLENGE CARGO,Centurion Air Cargo
CWG,WING AVIATION,UNITED STATES,CLEAR WING,Wing Aviation
CWH,CANADIAN WARPLANE HERITAGE MUSEUM,CANADA,WARPLANE HERITAGE,Canadian Warplane Heritage Museum
CWL,CRANWELL FTU,UNITED KINGDOM,CRANWELL,RAF Cranwell
CWM,AIR MARSHALL ISLANDS,MARSHALL ISLANDS,AIR MARSHALLS,Air Marshall Islands
CWN,CROWN AIRLINES,LIBYA,CROWN AIRLINES,Crown Airlines
CWR,"BEIJING CITY INTERNATIONAL BUSINESS JET CO., LTD.",CHINA,CITY WORLD,Beijing City International Jet
CWS,CRETAN WINGS,GREECE,CRETAN,Cretan Wings
CWX,"CROW EXECUTIVE AIR, INC. (MILLBURY, OH)",UNITED STATES,CROW EXPRESS,Crow Executive Air
CWY,WOODGATE AVIATION (NI) LTD.,UNITED KINGDOM,CAUSEWAY,Woodgate Aviation
CWZ,"CAPITOL WINGS AIRLINE, INC. (AUSTIN, TX)",UNITED STATES,CAPWINGS,Capitol Wings Airline
CXA,XIAMEN AIRLINES,CHINA,XIAMEN AIR,Xiamen Air
CXB,COMLUX ARUBA,NETHERLANDS,STARLUX,Comlux Aruba
CXE,CAICOS EXPRESS AIRWAYS,UNITED KINGDOM,CAICOS,Caicos Express Airways
CXF,VCAP AVIATION LLC,UNITED STATES,CARDS FLIGHT,Vcap Aviation
CXI,CORENDON AIRLINES EUROPE,MALTA,TOURISTIC,Corendon Airlines Europe
CXK,ATP FLIGHT SCHOOL,UNITED STATES,CAREER TRACK,ATP Flight School
CXN,CHINA SOUTHERN AIRLINES XIONG AN AIRLINES COMPANY LIMITED,CHINA,STRONG AIR,China Southern Airlines Xiong
CXS,"BOSTON-MAINE AIRWAYS (PORTSMOUTH, NH)",UNITED STATES,CLIPPER CONNECTION,Boston-Maine Airways
CXT,"COASTAL AIR TRANSPORT (CHRISTIANSTED, ST. CROIX)",UNITED STATES,COASTAL,Coastal Air Transport
CYA,"CHEYENNE AIRWAYS, INC. (CHEYENNE, WY)",UNITED STATES,CHEYENNE AIR,Cheyenne Airways
CYC,CIRCADIAN AVIATION LLC,UNITED STATES,CIRCADIAN,Circadian Aviation
CYE,ORDOS GENERAL AVIATION CO. LTD.,CHINA,SAKIRA,Ordos General Aviation
CYF,TUS AIRWAYS,CYPRUS,TUS AIR,Tus Air
CYG,"CORPORATION YGNUS AIR, S.A. (GESTAIR CARGO)",SPAIN,,Gestair Cargo
CYH,CHINA SOUTHERN AIRLINES HENAN CO. LTD,CHINA,YUHAO,China Southern Airlines Henan
CYL,ALITALIA CITYLINER S.P.A.,ITALY,CITYLINER,Air One Cityliner
CYN,"COLORFUL YUNNAN GENERAL AVIATION CO., LTD.",CHINA,COLOR JET,Colorful Yunnan General Aviation
CYO,ATI JET INC,UNITED STATES,COYOTE,ATI Jet
CYP,CYPRUS AIRWAYS,CYPRUS,CYPRUS,Cyprus Airways
CYT,CRYSTAL AIR,UNITED STATES,CRYSTAL AIR,Crystal Air
CYZ,CHINA POSTAL AIRLINES LTD,CHINA,CHINA POST,China Postal Airlines
DAA,"DECATUR AVIATION, INC. (DECATUR, IL)",UNITED STATES,DECUR,Decatur Aviation
DAB,DASSAULT AVIATION,FRANCE,,Dassault Aviation
DAC,DOMINION AIR LTD.,NIGERIA,DOMINION AIR,Dominion Air
DAD,AIR EXPRESS (PVT) LTD,PAKISTAN,DEWAN EXPRESS,Air Express
DAE,"DHL AERO EXPRESO, S.A.",PANAMA,YELLOW,DHL Aero Expreso
DAF,DANISH AIR FORCE,DENMARK,DANISH AIRFORCE,Danish Air Force
DAH,AIR ALGERIE,ALGERIA,AIR ALGERIE,Air Algerie
DAI,DENA AIRWAYS,IRAN (ISLAMIC REPUBLIC OF),DENA,Dena Airways
DAK,4 AIRWAYS,MALTA,DUCK AIRWAYS,4Airways
DAL,"DELTA AIR LINES, INC.",UNITED STATES,DELTA,Delta Air Lines
DAN,DANA AIRLINES LIMITED,NIGERIA,DANACO,Dana Air
DAP,AEROVIAS DAP,CHILE,DAP,Aerovias DAP
DAR,DANISH ARMY,DENMARK,DANISH ARMY,Danish Army
DAS,DELMUN AVIATION SERVICES,BAHRAIN,TYLOS,Delmun Aviation Services
DAT,LYNX AIR (1263343 ALBERTA INC.),CANADA,DAUNTLESS,Lynx Air
DAV,DORNIER AVIATION NIGERIA AIEP LTD,NIGERIA,DANA AIR,Dornier Aviation Nigeria
DAX,DIRECT AIR EXECUTIVE LTD,UNITED KINGDOM,,Direct Air Executive
DAY,DAYA AVIATION (PVT) LTD,SRI LANKA,DAYA,Daya Aviation
DAZ,DESERT AIR TRANSPORT INC,UNITED STATES,DEZERT AIR,Desert Air
DBA,"AIR ALPHA, INC. (CINCINNATI, OH)",UNITED STATES,DOUBLE-A,Air Alpha
DBC,"GEMINI AIR GROUP, INC. (SCOTTSDALE, AZ)",UNITED STATES,DIAMOND BACK,Gemini Air Group
DBJ,DUCHESS OF BRITTANY (JERSEY) LTD,UNITED KINGDOM,DUCHESS,Duchess of Brittany
DBP,COMPAGNIE AFRICAINE D'AVIATION (CAA),DEMOCRATIC REPUBLIC OF THE CONGO,AFRICAN,Compagnie Africaine d'Aviation
DBT,DBT-TRANSPORTES AEREOS LDA (DB AVIATION),PORTUGAL,STAR SHIP,DB Aviation
DCA,"AEROTAXI DEL CARIBE, S. DE R.L. DE C.V.",MEXICO,DELCARIBE,Aerotaxi Del Caribe
DCC,CARIBBEAN AIR CARGO,BARBADOS,CARICARGO,Caribbean Air Cargo
DCD,AIR26 S.A.,ANGOLA,DUCARD,Air 26
DCF,DC AVIATION AL-FUTTAIM LLC,UNITED ARAB EMIRATES,DESERT STAR,DC Aviation Al Futtaim
DCL,TRANSPORTES AEREOS DON CARLOS LTDA.,CHILE,DON CARLOS,Transportes Aereos Don Carlos
DCM,"FLTPLAN, LLC (SOUTHBURY, CT)",UNITED STATES,DOT COM,FLTPLAN
DCN,"FEDERAL ARMED FORCES, FEDERAL REPUBLIC OF GERMANY",GERMANY,DIPLOMATIC CLEARANCE,Federal Republic of Germany Armed Forces
DCO,DISTRIBUIDORA Y COMERCIALIZADORA JAZ SA DE CV,MEXICO,AEROJAZ,Distribuidora Y Comercializadora Jaz
DCP,DELTA CONNECTION LIMITED,KENYA,NILECAT,Delta Connection Limited
DCS,"DC AVIATION GMBH, STUTTGART",GERMANY,TWIN STAR,DC Aviation
DCT,DIRECT FLIGHT LTD,UNITED KINGDOM,AIRTASK,Direct Flight
DCU,DC AVIATION SAN MARINO S.R.L.,SAN MARINO,OCEAN STAR,DC Aviation San Marino
DCV,DISCOVERY AIRWAYS LIMITED,NIGERIA,DISCOVERYJET,Discovery Airways Limited
DCW,DC AVIATION LTD.,MALTA,MALTA STAR,DC Aviation
DCY,"INVERSIONES Y PROMOCIONES DUCOY, S.L.",SPAIN,DUCOY,Inversiones Y Promociones Ducoy
DDA,"D & D AVIATION (SALT LAKE CITY, UT)",UNITED STATES,DUSTY,D & D Aviation
DDY,"SERVICIOS AEREOS DANDY, S.A. DE C.V.",MEXICO,DANDY,Servicios Aereos Dandy
DEC,DECCAN CARGO & EXPRESS LOGISTICS PVT LTD,INDIA,DECCAN CARGO,Deccan Cargo & Express Logistics
DEE,"TRANSPORTATION AMERICA CORPORATION D/B/A DIXIE AIRWAYS (NASHVILLE, TN)",UNITED STATES,TACAIR,Dixie Airways
DEF,AVIATION DEFENSE SERVICE,FRANCE,TIRPA,Aviation Defense Service
DEI,ECOAIR,ALGERIA,,Ecoair
DEK,AVIASTAR,BELARUS,DEK AERO,Aviastar
DEM,"DESTILADORA DE ALCOHOLES Y MIELES, S.A. DE C.V.",MEXICO,DESTILA MIELES,Destiladora De Alcoholes Y Mieles
DEN,SAS DANMARK A/S,DENMARK,,SAS Denmark
DER,DEER JET CO. LTD,CHINA,DEER JET,Deer Jet
DES,"SERVICIOS AEREOS ESPECIALIZADOS DESTINIA, S.A. DE C.V.",MEXICO,DESTINIA,Servicios Aereos Especializados Destinia
DEV,RED DEVILS PARACHUTE DISPLAY TEAM,UNITED KINGDOM,RED DEVILS,Red Devils Parachute Display Team
DEX,"ASIAN AIR CO., LTD",THAILAND,ASIAN AIR,Asian Air
DFA,AEROBILITY,UNITED KINGDOM,ABLE,Aerobility
DFC,AEROPARTNER A.S.,CZECHIA,DARK BLUE,Aeropartner
DFL,BABCOCK SCANDINAVIAN AIRAMBULANCE AB,SWEDEN,MEDIFLIGHT,Babcock Scandinavian Airambulance
DFS,"DWYER AIRCRAFT SALES, INC. (MASON CITY, IA)",UNITED STATES,DWYAIR,Dwyer Aircraft Sales
DGA,"YELLOW RIVER DELTA GENERAL AVIATION CO., LTD",CHINA,YELLOW RIVER,Yellow River Delta General Aviation
DGC,SERVICIO AEREO DE LA GUARDIA CIVIL,SPAIN,,Servicio Aereo De La Guardia Civil
DGJ,DIGAJET AVIATION GMBH,GERMANY,DEEGA JET,DigaJet
DGO,"DGO JET, S.A. DE C.V.",MEXICO,DGO JET,DGO Jet
DGP,CUERPO NACIONAL DE POLICIA,SPAIN,,Cuerpo Nacional de Policia
DGT,"DIGITAL EQUIPMENT CORPORATION (MAYNARD, MA)",UNITED STATES,DIGITAL,Digital Equipment Corporation
DGV,SMART AIRLINES LLC,ARMENIA,SMART AIRLINES,Smart Airlines
DGX,DASNAIR SA,SWITZERLAND,DASNA,Dasnair
DHA,DHL AIR AUSTRIA,AUSTRIA,YELLOW TAIL,DHL Air Austria
DHC,DE HAVILLAND AIRCRAFT OF CANADA LTD,CANADA,DEHAVILLAND,De Havilland Canada
DHE,DAP HELICOPTEROS LTDA.,CHILE,HELIDAP,DAP Helicopteros
DHK,DHL AIR (UK) LIMITED,UNITED KINGDOM,WORLD EXPRESS,DHL Air UK
DHL,"ASTAR AIR CARGO (MIAMI, FL)",UNITED STATES,DAHL,Astar Air Cargo
DHR,"CREAMER PILOT SERVICES, LLC",UNITED STATES,DARK HORSE,Creamer Pilot Services
DHV,DHL AVIATION (PTY) LTD,SOUTH AFRICA,WORLDSTAR,DHL Aviation
DHX,DHL AVIATION EEMEA B.S.C.(C),BAHRAIN,DILMUN,DHL International
DIA,"DIRECT AIR, INC.",UNITED STATES,BLUE SKY,Direct Air
DIC,"AEROMEDICA, S.A. DE C.V.",MEXICO,AEROMEDICA,Aeromedica
DIG,DAC INTERNATIONAL AIRLINES LTD,GHANA,DAC AIR,DAC International Airlines
DIR,AERRO DIREKT,ROMANIA,DIREKT WINGS,FLYYO
DIS,AERODIS AVIACION S.L.,SPAIN,AERODIS,Aerodis Aviacion
DJA,ANTINEA AIRLINES,ALGERIA,ANTINEA,Antinea Airlines
